Track,TopSpeed,Acceleration,Grip,Stamina,Concentration,Aggression,Luck,Season
Australia,1.25,1.1,0.7,0.5,0.65,0.5,0.1,2019
Bahrain,1,0.8,1.2,0.6,0.7,0.9,0.35,2019
China,1.1,1.25,0.9,0.65,0.8,0.7,0.15,2019
Azerbaijan,1,0.8,0.75,0.55,0.7,1.1,0.25,2019
Spain,0.8,0.6,0.55,0.4,0.55,0.75,0.1,2019
Monaco,0.75,0.65,1,0.9,1,0.8,0.4,2019
Canada,1,0.7,0.65,0.85,0.75,0.65,0.3,2019
France,1.15,1,0.45,1.1,1,0.8,0.15,2019
Austria,1.25,0.75,0.6,0.6,1.2,1,0.15,2019
Britain,1.35,1.1,0.5,1,1.25,1.15,0.05,2019
Germany,0.9,0.8,0.4,0.75,0.8,0.9,0.15,2019
Hungary,0.6,0.65,1.1,0.9,1.1,0.5,0.05,2019
Belgium,1.2,1,1,1.15,1.25,1.1,0.05,2019
Italy,1.25,0.7,0.3,0.9,0.65,0.6,0.3,2019
Singapore,0.55,0.9,1,0.8,1.2,0.4,0.05,2019
Russia,1.15,0.8,0.6,0.7,0.6,0.7,0.2,2019
Japan,1,0.85,1.1,0.4,0.85,0.8,0.1,2019
Mexico,1.3,0.75,0.65,0.55,0.5,0.6,0.25,2019
UnitedStates,1,1.25,1.05,0.4,0.75,1,0.1,2019
Brazil,1,1.2,0.9,0.4,0.85,1.2,0.05,2019
AbuDhabi,0.65,0.75,0.65,0.6,0.9,0.5,0.05,2019
