Track,MaximumTime,MinimumTime,AttributeMin,AttributeMax,Power,Randomness,ScoreCoefficient,Record,PrimaryAttribute
Australia,147000,59400,1,10000,0.223,0.003,0.01,84125,TopSpeed
AbuDhabi,200000,59000,1,10000,0.23,0.003,0.01,99283,Grip
Bahrain,219100,40500,1,10000,0.219,0.003,0.01,91447,Grip
China,174650,59300,1,10000,0.216,0.003,0.01,92238,Grip
Azerbaijan,198000,65470,1,10000,0.225,0.003,0.01,103009,TopSpeed
Austria,130000,41900,1,10000,0.222,0.003,0.01,66957,TopSpeed
France,193750,61550,1,10000,0.26,0.003,0.01,92740,TopSpeed
Brazil,209109,15299,1,10000,0.217,0.003,0.01,70540,Grip
Spain,200000,29373,1,10000,0.232,0.003,0.01,78452,TopSpeed
Monaco,149000,44100,1,10000,0.22,0.003,0.01,74273,Grip
Canada,179000,30360,1,10000,0.22,0.003,0.01,73114,Grip
Britain,159400,59000,1,10000,0.214,0.003,0.01,87879,TopSpeed
Germany,139900,47111,1,10000,0.225,0.003,0.01,73801,TopSpeed
Hungary,139900,51800,1,10000,0.2199,0.003,0.01,77141,Grip
Belgium,202000,67810,1,10000,0.211,0.003,0.01,106408,TopSpeed
Italy,162000,48510,1,10000,0.221,0.003,0.01,81154,TopSpeed
Singapore,189250,66710,1,10000,0.22,0.003,0.01,101957,Grip
Russia,179250,62100,1,10000,0.22,0.003,0.01,95797,TopSpeed
Japan,159125,63480,1,10000,0.216,0.003,0.01,90991,Grip
Mexico,135125,56006,1,10000,0.22,0.003,0.01,78764,TopSpeed
UnitedStates,158000,53342,1,10000,0.151,0.003,0.01,96187,Grip
